code;name;sell_price;buy_price
TS-N0313;"TUERCA STORZ  2"" HI-HE 1 1/4"" hpp = 9 [N H - N S T ]";12064;0
TS-N0314;"TUERCA STORZ  2"" HI-HE 1 1/2"" hpp = 9 [N H - N S T ]";12064;0
TS-N0315;"TUERCA STORZ  2"" HI-HE 2 1/2"" hpp = 7 1/2 [N H - N S T ]";24992;0
TS-N0316;"TUERCA STORZ  2"" HI-HE 3"" hpp = 6 [N H - N S T ]";27264;0
TS-N0317;"TUERCA STORZ  2"" HI-HE 5"" hpp = 4 [N H - N S T ]";45428;0
TS-N0318;"TUERCA STORZ 2 1/2"" HI-HE 2 1/2"" hpp = 7 1/2"" [N H - N S T ]";22285;0
TS-N0319;"TUERCA STORZ  2 1/2"" HI-HE 1"" hpp = 8 [N H - N S T ]";23515;0
TS-N0320;"TUERCA STORZ 2 1/2"" HI-HE 1 1/4"" hpp = 9 [N H - N S T ]";23515;0
TS-N0321;"TUERCA STORZ  2 1/2"" HI-HE 1 1/2"" hpp = 9 [N H - N S T ]";29094;0
TS-N0322;"TUERCA STORZ  2 1/2"" HI-HE 2"" hpp = 8 [N H - N S T ]";29094;0
TS-N0323;"TUERCA STORZ 2 1/2"" HI-HE 3"" hpp = 6 [N H - N S T ]";30672;0
TS-N0324;"TUERCA STORZ 3"" HI-HE 3"" hpp = 6 [N H - N S T ]";24173;0
TS-N0325;"TUERCA STORZ 3"" HI-HE 1 1/2"" hpp = 9 [N H - N S T ]";30786;0
TS-N0326;"TUERCA STORZ  3"" HI-HE 2"" hpp = 8 [N H - N S T ]";31042;0
TS-N0327;"TUERCA STORZ  3"" HI-HE 2 1/2"" hpp = 7 1/2 [N H - N S T ]";36352;0
TS-N0328;"TUERCA STORZ 4"" HI-HE 4"" hpp = 4 [N H - N S T ]";61453;0
TS-N0329;"TUERCA STORZ  4"" HI-HE 1 1/2"" hpp = 9 [N H - N S T ]";61453;0
TS-N0330;"TUERCA STORZ  4"" HI-HE 2"" hpp = 8 [N H - N S T ]";61453;0
